Country,Total_Players,Total_Revenue,ARPU
India,237,2599945,10970.23
Switzerland,117,580049,4957.68
Saudi Arabia,116,578682,4988.64
Germany,113,1286916,11388.64
Netherlands,111,402516,3626.27
Australia,111,368549,3320.26
Japan,110,1222250,11111.36
Italy,110,1345299,12229.99
Mexico,109,770041,7064.6
UK,106,804797,7592.42
Norway,106,700567,6609.12
USA,104,1073833,10325.32
Sweden,104,470709,4526.05
Denmark,104,1109083,10664.26
Iran,103,1129330,10964.37
Brazil,103,339495,3296.07
Canada,101,1424801,14106.94
South Korea,100,1396869,13968.69
Egypt,100,610594,6105.94
Bangladesh,100,1370574,13705.74
China,98,638509,6515.4
Spain,93,414224,4454.02
Afghanistan,91,1609329,17684.93
Turkey,90,661734,7352.6
Russia,90,1224553,13606.14
France,90,334826,3720.29
Sri Lanka,88,1095539,12449.31
Unknown,59,158222,2681.73
