GameGenre,Total_Players,Total_Revenue,ARPU
Battle Royale,185,2596458,14034.91
Racing,190,2556916,13457.45
Strategy,193,2259874,11709.19
Fighting,180,2137787,11876.59
MOBA,178,1972548,11081.73
MMORPG,193,1798011,9316.12
Sports,214,1571377,7342.88
Simulation,215,1465115,6814.49
Adventure,165,1381099,8370.3
Role Playing,191,1367493,7159.65
Puzzle,199,1338913,6728.21
Card,196,1237050,6311.48
Casual,205,1216270,5933.02
Sandbox,216,1147534,5312.66
Action RPG,185,1098171,5936.06
Unknown,59,577219,9783.37
