UserID,Country,GameGenre,Age_Bucket,Total_Spent
b5c61dc0-138d-4d49-ae4a-c4ca75787cb2,Afghanistan,Strategy,Mature,496445
9ce85d56-3f8f-431a-b0bf-eec096811b39,Iran,Battle Royale,Teen,493198
a8881761-c5ca-4ded-ad96-81e76b2f04e1,Denmark,Adventure,Adult,493028
3adbf004-12bb-4abc-985a-ec2c3e399704,Russia,MMORPG,Adult,489316
a9f827e9-f212-47ab-8c8a-81e6b6d7145d,Afghanistan,Simulation,Mature,477077
69221c7c-c50f-4b3f-a67f-3c1450e4f6d8,Canada,MOBA,Adult,470056
af42adc7-ff91-418f-935e-b3b2d0827a45,Bangladesh,Fighting,Mature,461948
56824487-498c-4c14-a94b-1bf6e680769c,India,Fighting,Young Adult,447547
cb7c4c69-eda2-4c2a-a4f2-45f16a8bf100,Canada,Role Playing,Young Adult,447187
2fb25fed-3e11-4d61-860a-db76c61cb308,Italy,Strategy,Mature,437831
